time,step,detector_0,detector_1,detector_2,detector_3,detector_4,detector_5,detector_6,detector_7,detector_8,detector_9
1.868007240492814e-08,880,-3.375308945992812e-14,-1.7578166813316259e-13,7.007175285659617e-14,-5.100536004029681e-15,-2.888921854907956e-13,-2.4003911107741065e-14,3.95487461102535e-14,-3.567042211194831e-11,-0.1083445302062113,-0.0009659892626198032
1.8892345954984142e-08,890,-2.5218703389543564e-13,7.270290435478679e-14,1.970529134164441e-13,9.627141245829065e-14,-2.4271095011903023e-13,7.539027115700708e-14,-3.8689175869381514e-13,-8.943057325409287e-11,-0.5045059114647346,-8.988442523331499e-05
1.9104619505040145e-08,900,-2.0462276998407916e-13,2.3478198329756653e-13,1.7695728352891455e-13,1.1229908902178827e-13,-1.509671511715082e-13,1.4877132059812807e-13,2.2751669485529445e-14,-1.7403449836818036e-08,-0.7169661774341631,1.746300313087538e-05
1.9316893055096147e-08,910,6.684884940157729e-14,1.8100492307418369e-13,6.907587076607328e-14,4.497688184085199e-14,-5.012467811046653e-14,1.369667932443026e-13,-1.8240879041093792e-13,-1.706343355057831e-06,-0.0642587055783293,8.14135192926642e-06
1.9529166605152147e-08,920,2.6391622438767783e-13,6.44998137056145e-16,-3.1768856776843566e-15,-4.145871443310008e-14,2.260897978186194e-14,4.21459666661313e-14,-3.2546122779356913e-13,-9.422296663927118e-05,0.00916798187315233,1.471631955084447e-07
1.974144015520815e-08,930,1.7140574193960125e-13,-1.1725084130604875e-13,2.302416103208098e-14,-6.675815272309215e-14,3.998511986969536e-14,-9.103480236246539e-14,-9.547984814449453e-14,-0.002803597325696041,0.0041917729146387726,-1.8419461618519717e-06
1.9953713705264152e-08,940,-9.666109393518285e-14,-9.245635420194315e-14,8.649051685740307e-14,7.867735595068205e-15,-1.59516627684402e-15,-2.097062614198653e-13,-6.6964051419741966e-15,-0.042099939076086106,-0.0013989000445568923,2.791288552731241e-06
2.016598725532015e-08,950,-2.390418392928321e-13,-1.3791391064248536e-14,7.283399712404162e-14,1.4558103142110902e-13,-7.876377571883466e-14,-2.758929132371977e-13,-1.6437253834565992e-11,-0.2871351120516717,-0.0004233395062829174,0.00018851806250793718
2.0378260805376154e-08,960,-1.162514690391997e-13,2.3340920430062934e-15,-5.762309910483014e-14,2.5780166159610517e-13,-1.5134951251087126e-13,-2.7425805820186233e-13,-2.996803000779632e-09,-0.7287496593730417,-7.330623265748657e-05,0.004851177621295738
2.0590534355432156e-08,970,1.085330995540905e-13,-3.622011808056679e-14,-2.100612125401895e-13,2.6641258107585743e-13,-1.8018330042683141e-13,-2.1028190087203065e-13,-3.2914047521005964e-07,-0.38907753498514697,-1.6363526434066477e-05,0.06269247695488223
2.0802807905488156e-08,980,1.8409676557849125e-13,-2.4461345466178685e-14,-2.386926590437702e-13,1.644888578730731e-13,-1.4653985904255654e-13,-1.0430885505303808e-13,-2.1098684880907843e-05,0.07220306917179162,-7.498617481882989e-06,0.36302152783707525
2.101508145554416e-08,990,5.830243710745149e-14,7.43519508859958e-14,-9.157173573943528e-14,2.012459397311687e-14,-6.338541811671261e-14,1.6557704480905383e-14,-0.0007602662247462739,-0.01727582329290211,-4.085711855532622e-06,0.7510862541248321
2.122735500560016e-08,1000,-9.596356393907864e-14,1.5292216972213206e-13,1.276960481737496e-13,-7.265652513157771e-14,2.6938081812711422e-14,1.1710139716344675e-13,-0.014593728284524602,0.001179029056366486,-7.662849119543651e-07,0.2607506043263271
2.143962855565616e-08,1010,-1.1250218614797723e-13,8.158178664969504e-14,2.458494497214155e-13,-6.857861855092126e-14,7.509612549832572e-14,-2.374044115092248e-12,-0.13741469453470306,0.0012259361074018484,4.393804770287976e-05,-0.06119046054122439
2.1651902105712163e-08,1020,-1.546006510797418e-14,-1.09173893228856e-13,1.8069467875549634e-13,-5.59295726828819e-15,4.904917194708389e-14,-5.076746789418856e-10,-0.550227398272048,0.00017586257231988172,0.0013810143205229197,0.011040460284986932
2.1864175655768166e-08,1030,5.673565469387117e-14,-2.278944072008123e-13,9.003191584116764e-15,2.904811836713087e-14,-4.3704955126304813e-14,-6.17832035145591e-08,-0.6803400434794047,-3.7834590777316814e-06,0.023006345337012582,0.0015442136649839358
