theta_a_deg,theta_b_deg,theta_diff_deg,correlation,correlation_std,n_trials
30.0,80.0,-50.0,-0.41903501018769923,0.06069932106440101,100
30.0,85.0,-55.0,-0.3255429689542204,0.059978081343820835,100
30.0,90.0,-60.0,-0.255078622561172,0.0570715841742966,100
35.0,0.0,35.0,-0.6755405670709189,0.05981619243142665,100
35.0,5.0,30.0,-0.755071167426575,0.06326898016688638,100
35.0,10.0,25.0,-0.8259629143587588,0.06275777398914698,100
35.0,15.0,20.0,-0.8741683999053846,0.0600238144397739,100
35.0,20.0,15.0,-0.9340997761045681,0.06051861364266539,100
35.0,25.0,10.0,-0.9677736414594718,0.05640676775600183,100
35.0,30.0,5.0,-0.9866598105117642,0.056409284553244426,100
35.0,35.0,0.0,-1.0015509942309822,0.058186373998422976,100
35.0,40.0,-5.0,-0.9993200812280293,0.05782119220854497,100
35.0,45.0,-10.0,-0.9632618308235376,0.0589936232954689,100
35.0,50.0,-15.0,-0.9409643699365233,0.058915274670754504,100
35.0,55.0,-20.0,-0.8769873207706833,0.062402191180087205,100
35.0,60.0,-25.0,-0.8261040196042321,0.05808438444756673,100
35.0,65.0,-30.0,-0.7429786961131044,0.053505745008121906,100
35.0,70.0,-35.0,-0.6707299628857903,0.057827579684527515,100
35.0,75.0,-40.0,-0.5909032053442403,0.05367384319079819,100
35.0,80.0,-45.0,-0.5084297444281224,0.05777573370975215,100
35.0,85.0,-50.0,-0.4157433491681536,0.05437185781599984,100
35.0,90.0,-55.0,-0.31982968782240606,0.05600381286233536,100
40.0,0.0,40.0,-0.585931937755102,0.05316674199320817,100
40.0,5.0,35.0,-0.6631647778144673,0.05485781875047015,100
40.0,10.0,30.0,-0.7545604798505426,0.06028282703224915,100
40.0,15.0,25.0,-0.8184334331523015,0.058434132088301484,100
40.0,20.0,20.0,-0.8826203433644112,0.05691527784584007,100
40.0,25.0,15.0,-0.9346258463352478,0.0585408600823005,100
40.0,30.0,10.0,-0.9725071751576564,0.05774932323926326,100
40.0,35.0,5.0,-0.9900364953301088,0.06063785770332045,100
40.0,40.0,0.0,-1.0032464488823205,0.05667113427327292,100
40.0,45.0,-5.0,-0.9918194004173375,0.06009539632639495,100
40.0,50.0,-10.0,-0.9697224342319664,0.05880079134414118,100
40.0,55.0,-15.0,-0.937184054157311,0.05660795764652778,100
40.0,60.0,-20.0,-0.8905641980104033,0.055725901995254686,100
40.0,65.0,-25.0,-0.823039284088144,0.05665175927691936,100
40.0,70.0,-30.0,-0.7470798161805183,0.05462113889266156,100
40.0,75.0,-35.0,-0.6627884927005391,0.055041060663832936,100
40.0,80.0,-40.0,-0.5817141202314118,0.053212307381056895,100
40.0,85.0,-45.0,-0.500027731131476,0.06019947341748094,100
40.0,90.0,-50.0,-0.415180166133187,0.059803913159090685,100
45.0,0.0,45.0,-0.49776919027609906,0.05531605564349891,100
45.0,5.0,40.0,-0.5801117419480851,0.058410938067141496,100
45.0,10.0,35.0,-0.6663099300021615,0.05466932942691563,100
45.0,15.0,30.0,-0.7446684374684112,0.059923622206508195,100
45.0,20.0,25.0,-0.8220186721402878,0.056255964025875065,100
45.0,25.0,20.0,-0.881674091367428,0.0599133453316771,100
45.0,30.0,15.0,-0.923529837708021,0.06181307146724107,100
45.0,35.0,10.0,-0.9636692600207413,0.057456534730269,100
45.0,40.0,5.0,-0.9863937010512797,0.05938145253911287,100
45.0,45.0,0.0,-0.9950921651165227,0.05350363606919941,100
45.0,50.0,-5.0,-0.9789728192802609,0.05725634217092585,100
