condition_id,cosmic_regime,n_agents,epochs,openness,kE,kI,lam,eta,seed,stability_cci_mean,stability_hazard_mean,stability_cci_slope,R_mean,auh_1180_1220
91,future,180,1800,0.007,0.9,0.9,0.7,-0.0031647729091449496,1,0.40969419353148256,0.1200135347458858,8.513271554425318e-08,3.413733313218233,8.155816355810416
92,future,180,1800,0.007,0.9,0.9,0.9,-0.0031647729091449496,1,0.4096913906537919,0.12002194337895784,1.2798072374226377e-07,3.413470880916107,8.185340287586504
93,future,180,1800,0.007,0.9,1.0,0.7,-0.0031647729091449496,1,0.4096941745071204,0.1200135347458858,8.473401688511067e-08,3.4137331546779963,8.155816355810416
94,future,180,1800,0.007,0.9,1.0,0.9,-0.0031647729091449496,1,0.40969137162942965,0.12002194337895784,1.2758202508279244e-07,3.4134707223755427,8.185340287586504
95,future,180,1800,0.007,0.9,1.1,0.7,-0.0031647729091449496,1,0.40969415675636495,0.1200135347458858,8.436954313018072e-08,3.4137330067514084,8.155816355810416
96,future,180,1800,0.007,0.9,1.1,0.9,-0.0031647729091449496,1,0.4096913538786743,0.12002194337895784,1.2721755132753367e-07,3.4134705744486835,8.185340287586504
97,future,180,1800,0.007,1.0,0.9,0.7,-0.0031647729091449496,1,0.4096941935215191,0.1200135347458858,8.513272273849899e-08,3.413733313135213,8.155816355810416
98,future,180,1800,0.007,1.0,0.9,0.9,-0.0031647729091449496,1,0.4096913906438284,0.12002194337895784,1.2798073093683838e-07,3.413470880833093,8.185340287586504
99,future,180,1800,0.007,1.0,1.0,0.7,-0.0031647729091449496,1,0.4096941744971569,0.1200135347458858,8.47340240796853e-08,3.413733154594977,8.155816355810416
100,future,180,1800,0.007,1.0,1.0,0.9,-0.0031647729091449496,1,0.40969137161946617,0.12002194337895784,1.2758203227670943e-07,3.4134707222925287,8.185340287586504
101,future,180,1800,0.007,1.0,1.1,0.7,-0.0031647729091449496,1,0.40969415674640147,0.1200135347458858,8.436955032442654e-08,3.4137330066683886,8.155816355810416
102,future,180,1800,0.007,1.0,1.1,0.9,-0.0031647729091449496,1,0.4096913538687108,0.12002194337895784,1.2721755852079303e-07,3.4134705743656704,8.185340287586504
103,future,180,1800,0.007,1.1,0.9,0.7,-0.0031647729091449496,1,0.4096941935132096,0.1200135347458858,8.513273188889308e-08,3.4137333130659755,8.155816355810416
104,future,180,1800,0.007,1.1,0.9,0.9,-0.0031647729091449496,1,0.40969139063551896,0.12002194337895784,1.2798074008493075e-07,3.413470880763861,8.185340287586504
105,future,180,1800,0.007,1.1,1.0,0.7,-0.0031647729091449496,1,0.4096941744888474,0.1200135347458858,8.473403322876411e-08,3.4137331545257394,8.155816355810416
106,future,180,1800,0.007,1.1,1.0,0.9,-0.0031647729091449496,1,0.4096913716111568,0.12002194337895784,1.275820414254594e-07,3.413470722223296,8.185340287586504
107,future,180,1800,0.007,1.1,1.1,0.7,-0.0031647729091449496,1,0.4096941567380921,0.1200135347458858,8.436955947251889e-08,3.413733006599152,8.155816355810416
108,future,180,1800,0.007,1.1,1.1,0.9,-0.0031647729091449496,1,0.40969135386040134,0.12002194337895784,1.2721756767085829e-07,3.4134705742964377,8.185340287586504
